date,temperature_C
2024-01-01,19.747452890593973
2024-01-02,17.129563754208256
2024-01-03,15.252635129647363
2024-01-04,17.193669343341003
2024-01-05,18.863715807754428
2024-01-06,19.247692542147643
2024-01-07,20.790788142026635
2024-01-08,15.905583528439772
2024-01-09,17.2414626754694
2024-01-10,15.792513592690367
2024-01-11,15.501145518161103
2024-01-12,16.956961708424213
2024-01-13,18.982579166016095
2024-01-14,19.83178835095113
2024-01-15,16.434813650703873
2024-01-16,16.758357386684033
2024-01-17,14.865501765802737
2024-01-18,18.904928659250018
2024-01-19,17.065844665297767
2024-01-20,21.912889581295225
2024-01-21,19.46593810616771
2024-01-22,18.365694399054703
2024-01-23,17.49137965650622
2024-01-24,15.85201667693867
2024-01-25,16.176080072714107
2024-01-26,17.74070124953689
2024-01-27,17.66300827075882
2024-01-28,17.14095009896663
2024-01-29,19.97458860787581
2024-01-30,20.332637291363607
2024-01-31,18.473125046506603
2024-02-01,23.34952932551754
2024-02-02,16.07712589341999
2024-02-03,19.780770079558824
2024-02-04,19.323609534248607
2024-02-05,18.758137300983307
2024-02-06,18.565394689645665
2024-02-07,20.05036414465381
2024-02-08,19.719143308585913
2024-02-09,19.494681100783236
2024-02-10,17.791518143413505
2024-02-11,17.265512352333314
2024-02-12,20.0397035095778
2024-02-13,19.929732543321283
2024-02-14,20.459192419016734
2024-02-15,20.757481662529415
2024-02-16,20.053261433804646
2024-02-17,20.7990372618967
2024-02-18,19.644389404150147
2024-02-19,24.528901659539443
2024-02-20,20.01302548318479
2024-02-21,21.003932851216856
2024-02-22,20.433558409084995
2024-02-23,20.53702777553103
2024-02-24,22.20630139699221
2024-02-25,22.093108653316108
2024-02-26,21.520904852679138
2024-02-27,22.016769810331564
2024-02-28,21.289595811589738
2024-02-29,23.679737154168084
2024-03-01,27.13525259610962
2024-03-02,21.42524002792138
2024-03-03,24.11433427588919
2024-03-04,23.569175874718375
2024-03-05,24.970747196704536
2024-03-06,25.182577213031248
2024-03-07,24.356568110837348
2024-03-08,24.02405435246192
2024-03-09,23.393902452798415
2024-03-10,22.893096905451472
2024-03-11,24.390600986417876
2024-03-12,22.177401490044836
2024-03-13,23.72211807601559
2024-03-14,27.287703892611653
2024-03-15,25.436054711184692
2024-03-16,27.1902108671731
2024-03-17,28.51079055235749
2024-03-18,25.38478423308748
2024-03-19,26.321505208756797
2024-03-20,25.471792391986188
2024-03-21,24.619473574834508
2024-03-22,24.508469630303846
2024-03-23,28.270897793022552
2024-03-24,27.172461922103405
2024-03-25,30.619392677520473
2024-03-26,29.04158792553737
2024-03-27,25.806622721946486
2024-03-28,29.12151445944751
2024-03-29,27.002626112873745
2024-03-30,30.21855844389578
2024-03-31,26.984296862551517
2024-04-01,26.024251040264744
2024-04-02,26.70969289434626
2024-04-03,26.98388407839449
2024-04-04,26.964580965255834
2024-04-05,27.67154740209401
2024-04-06,30.70158512797919
2024-04-07,32.75143441248737
2024-04-08,26.66976803423495
2024-04-09,32.02758006911282
2024-04-10,28.715108823072335
2024-04-11,30.53574857898127
2024-04-12,26.700613490159757
2024-04-13,31.22530233865503
2024-04-14,26.33428910207197
2024-04-15,31.13977078346852
2024-04-16,31.192655145680416
2024-04-17,31.22560714140097
2024-04-18,29.53837777509082
2024-04-19,32.27096623475035
2024-04-20,32.1168508080153
2024-04-21,31.076568985230043
2024-04-22,33.00092584932308
2024-04-23,31.62568390953558
2024-04-24,33.03298246064308
2024-04-25,31.88102742304086
2024-04-26,32.72232336134392
2024-04-27,33.59322766319666
2024-04-28,31.80150224728497
