cluster_id,mean_temp,std_temp
0,21.014608651417436,6.7371028742257755
1,22.198296564561907,6.4707599892792205
2,21.58474579312015,6.151264409044804
3,21.84493126200464,5.647286940852557
4,21.91042459217804,8.598823647346984
5,22.425224533861638,6.575274383338127
6,21.58880212481061,7.280006164858323
7,23.17031591406016,5.596989836753391
8,20.716753309746103,7.003999406925698
9,20.034840331690592,6.322453344671406
10,20.792973679471395,7.721582068439684
11,22.544503696003215,6.463402951318213
12,20.966937993863297,6.936642972110171
13,20.84206197489463,7.457848982728863
14,22.039320606806633,7.165518613220336
15,20.235987547724356,7.169306265328939
16,20.94823496703577,7.538252640035999
17,21.401635752601422,6.807454659796513
18,20.6727021489493,5.026687370772136
19,20.02468949426648,5.049915602190915
20,23.50857279555819,6.895789928233352
21,21.22747971946474,7.715160435934928
22,21.40688449418192,6.872508968830746
23,20.225741766793437,6.672154216758579
24,21.14412481050485,6.155168448888256
25,20.881795728891387,7.773086423996641
26,23.00746915908462,5.717426147600028
27,23.12606423145458,7.629143485112078
28,20.92944620235912,7.019353988110453
29,23.30160101178474,7.514890308014509
30,21.012199938332895,6.2186602450189605
31,20.7373790154057,9.102322761000083
32,21.670553431770802,8.277374254624547
33,21.450644675133926,5.983958015111359
34,21.648988308131628,7.147155794930314
35,20.108475636350036,6.78180334642711
36,21.180975990856883,7.630865920568906
37,22.255105805412647,7.937984374766324
38,20.05467391523511,6.8830599687855205
39,22.049458084118697,8.040271113350038
40,20.181257299485726,6.420224339864796
41,21.594815813637766,5.734806074969677
42,21.182556321978794,6.0208820928404245
43,22.06200248111976,8.032478799290603
44,20.354278432600193,6.9640317970778085
45,21.275657744978858,7.545232015828238
46,20.027293888161957,7.990407935595704
47,20.64410457404355,6.823709645260645
48,20.74306461490929,7.5909071271477675
49,19.70843017232109,6.233017473436261
